id,review_text,sentiment_analysis,sentiment_label,aspects
28,"The 'magic' is just marketing. The passthrough is blurry, the Personas are terrifying, and the weight is a serious health hazard for your neck. This is the biggest flop Apple has ever produced.",,,"- Passthrough: Negative (blurry)
- Personas: Negative (terrifying avatars)
- Weight: Negative (serious neck strain/health hazard)
- Marketing/Claims: Negative (""magic"" is just marketing hype)
- Overall: Negative (called the biggest flop)"
29,"The passthrough is... fine. But it's not 'reality.' It feels like you're watching your life through a high-def camera, which is exactly what it is. It's disorienting.",,,"- Passthrough realism: Negative (not reality; feels like a camera feed)
- Passthrough clarity: Positive (high-def look)
- User comfort/orientation: Negative (disorienting)"
30,"A complete and total rip-off. It's a $500 VR headset with an Apple logo and a $3,000 markup. It does nothing better than its competition and a lot of things worse. Avoid.",,,"- Price: Negative (claims a $3,000 markup)
- Value for money: Negative (called a rip-off)
- Performance/Features: Negative (does nothing better; many things worse)
- Differentiation vs competitors: Negative (no advantage over rivals)"
31,"I love it, but the battery life is a joke. Two hours is just not enough. I'm constantly tethered to the wall with the power adapter, which kind of defeats the 'spatial' freedom.",,,"- Overall satisfaction: Positive (user says ""I love it"")
- Battery life: Negative (two hours is not enough)
- Charging/power adapter: Negative (constantly tethered to the wall)
- Spatial freedom/mobility: Negative (tethering defeats the sense of freedom)"
32,"It's a 'Gen 1' product with a 'Gen 3' price. It's heavy, the battery is short, and there's no killer app. I'll be back in a few years when they make 'Apple Vision Air.'",,,"- Price: Negative (Gen 3 price; too expensive)
- Weight/Comfort: Negative (heavy)
- Battery life: Negative (short)
- App ecosystem: Negative (no killer app)
- Maturity/Polish: Negative (feels like Gen 1)"
33,I'm torn. The technology is 10/10. The practicality is 2/10. It sits on my desk more than it sits on my face. The novelty wore off fast.,,,"- Technology/Performance: Positive (10/10 tech)
- Practicality/Everyday use: Negative (2/10 practicality)
- Usage frequency: Negative (sits on desk more than on face)
- Long-term appeal/Novelty: Negative (novelty wore off fast)"
34,"The spatial audio is magical. It sounds like the audio is coming from the windows in front of me, not from the headset. And when I turn my head, the sound stays put. So immersive.",,,"- Spatial audio: Positive (described as “magical”)
- Sound localization: Positive (audio feels like it comes from the windows in front)
- Head-tracked audio anchoring: Positive (sound stays put when turning head)
- Immersion: Positive (explicitly called “so immersive”)"
35,"This thing is 90% magic, 10% frustration. The movie-watching experience is 5/5, but the app library is still 3/5. It needs more compelling, native apps.",,,"- Overall experience: Positive (described as 90% magic)
- Movie-watching: Positive (rated 5/5)
- App library/ecosystem: Negative (3/5; needs more compelling native apps)"
36,"This is not a productivity device. It's a media consumption device. And as a media device, it has no Netflix, no YouTube, and no native Spotify. It's a $3,500 failure.",,,"- Productivity: Negative (not a productivity device)
- Media consumption suitability: Negative (missing major streaming apps)
- App ecosystem/streaming services: Negative (no Netflix, no YouTube, no native Spotify)
- Price/Value: Negative ($3,500 and called a failure)"
37,"The lens glare is so bad, it's distracting. In any high-contrast scene (like, you know, 90% of movies), there are god rays and reflections all over the place. It completely ruins the immersion.",,,"- Lens glare: Negative (distracting and severe)
- Reflections/god rays: Negative (visible all over the image)
- High-contrast scene handling: Negative (artifacts appear in bright/dark mixes)
- Movie watching experience: Negative (most movies show these artifacts)
- Immersion: Negative (completely ruined by glare and reflections)"
38,"The device is a marvel, but the lack of a native YouTube app is baffling and annoying. Using the web version is a clumsy workaround.",,,"- Overall impression: Positive (called “a marvel”)
- Native YouTube app availability: Negative (missing/baffling)
- Web YouTube experience: Negative (clumsy workaround)"
39,"I bought the original M2 version used for a great price. For $2,000, it's a 5-star product. For $3,500? I'm not so sure. The value proposition is tough.",,,"- Price at $2,000 (used): Positive (great price; feels 5-star)
- Price at $3,500 (MSRP): Negative (not sure it’s worth it)
- Value proposition: Negative (tough to justify at full price)"
40,The 'Persona' for FaceTime is still... weird. My colleagues said it's impressive but deep in the 'uncanny valley.' I'd rather just take the headset off.,,,"- Persona (FaceTime avatar): Negative (impressive but uncanny valley/weird)
- FaceTime calling experience: Negative (would rather take the headset off)"
41,"I'm a developer, and I'm disappointed. The tools are limited, and the store isn't driving any real revenue. It feels like Apple has already put this on the back burner. I'm worried about its future.",,,"- Developer tools: Negative (limited tools)
- App Store revenue: Negative (store not driving revenue)
- Apple support/commitment: Negative (feels put on the back burner)
- Future prospects: Negative (worried about its future)"
42,"I was blown away by the eye tracking. It literally feels like magic, just looking at something to select it. The interface is the most intuitive thing I've ever used.",,,"- Eye tracking: Positive (feels like magic; very effective)
- Interface/UX: Positive (most intuitive used)
- Gaze-based selection: Positive (can select items just by looking)"
43,Returned. The eye strain and headaches were immediate. I used it for 30 minutes and had to lie down. This product is not ready for human use. Do not buy.,,,"- Comfort/Health impact: Negative (immediate eye strain and headaches)
- Extended-use usability: Negative (only 30 minutes before needing to lie down)
- Product readiness/maturity: Negative (“not ready for human use”)"
44,"As a developer, the Mac Virtual Display is my entire workflow now. The M5's 120Hz update makes text incredibly sharp. I have a giant, floating 4K monitor wherever I go. Worth every penny for my productivity.",,,"- Mac Virtual Display: Positive (became entire workflow)
- 120Hz refresh rate: Positive (makes text incredibly sharp)
- Virtual 4K monitor: Positive (giant, floating screen)
- Portability: Positive (usable wherever I go)
- Productivity: Positive (boosts work efficiency)
- Value/Price: Positive (worth every penny)"
45,"The 'infinite canvas' is a lie. You can only use one Mac screen. And the iPad apps are just... iPad apps. They're 2D windows that aren't spatially aware. It's not the future, it's an iPad on my face.",,,"- Infinite canvas: Negative (not truly unlimited as advertised)
- Mac integration/screens: Negative (limited to one Mac display)
- iPad app support: Negative (just 2D app windows)
- Spatial awareness: Negative (apps aren’t spatially aware)
- Overall vision/experience: Negative (feels like an iPad on the face, not the future)"
46,"The passthrough camera is too low-resolution to read my phone screen or my watch. I have to lift the headset constantly, which defeats the purpose. Very frustrating.",,,"- Passthrough camera quality: Negative (too low-resolution)
- Readability of real-world screens via passthrough: Negative (can’t read phone or watch)
- Usability/convenience: Negative (must lift headset constantly)
- Passthrough usefulness: Negative (defeats the purpose)"
47,"I love the 'Environments' feature. When my house is a mess, I just transport myself to Yosemite to focus and get work done. It's an instant zen-like state.",,,"- Environments feature: Positive (user loves it; transports to Yosemite)
- Focus/Productivity: Positive (helps focus and get work done)
- Immersion/Calm: Positive (creates an instant zen-like state)
- Distraction reduction: Positive (masks a messy house)"
48,"Mac Virtual Display is amazing, but why can I only have *one* virtual screen? I'm a developer. I need three! It feels like an arbitrary software limitation. Fix this, Apple!",,,"- Mac Virtual Display: Positive (described as amazing)
- Multi-screen support: Negative (limited to one virtual screen)
- Software limitation: Negative (feels arbitrary)
- Developer workflow suitability: Negative (one screen insufficient for developers)"
49,"I travel a lot for work. This has completely transformed flying. I just put it on, dial in an Environment, and I'm in my own private theater. Noise-canceling is 10/10. A must-have for frequent flyers.",,,"- In-flight use: Positive (completely transformed flying)
- Virtual Environments: Positive (easy to dial in an Environment)
- Immersion/media experience: Positive (feels like a private theater)
- Noise-canceling: Positive (rated 10/10)
- Ease of use: Positive (just put it on and go)"
50,"A 4-star product with 5-star potential. It needs more apps, more content, and more social integration. But the foundation is solid.",,,"- App availability: Negative (needs more apps)
- Content library: Negative (needs more content)
- Social integration: Negative (needs more social features)
- Foundation/core experience: Positive (foundation is solid)
- Overall potential: Positive (4-star now with 5-star potential)"
51,"The app selection is a ghost town. It's been over a year (I have the M2), and we still don't have Netflix, Spotify, or a good YouTube app. It's basically a very expensive Safari browser.",,,"- App selection/ecosystem: Negative (described as a ghost town)
- Availability of major apps: Negative (no Netflix, Spotify, or good YouTube app)
- Functionality breadth: Negative (basically just a Safari browser)
- Price/value: Negative (very expensive for limited use)
- Progress over time: Negative (over a year with little improvement)"
52,"It's just too heavy. I don't care what head strap you use (I tried three, including the M5's Dual Knit). It's physics. It's a 1.5-pound weight hanging off your face. It's a design flaw.",,,"- Weight: Negative (too heavy at ~1.5 lb)
- Comfort: Negative (feels like a weight hanging off the face)
- Head strap options: Negative (tried multiple straps; none helped)
- Ergonomics/weight distribution: Negative (front-heavy, “hanging off your face”)
- Design: Negative (explicitly called a design flaw)"
53,"The display is amazing, but the field of view is a bit narrow. It feels like you're looking through a pair of ski goggles. I can't wait for the day this is just a pair of glasses.",,,"- Display: Positive (amazing)
- Field of view: Negative (a bit narrow)
- Form factor/Design: Negative (bulky, like ski goggles; not glasses-sized yet)"
54,"Spatial videos are the future, but the camera on the Vision Pro itself isn't great. The videos I take with my iPhone 15 Pro look way better. Glad I can view them, but I won't be recording with the headset.",,,"- Spatial videos (overall): Positive (called ""the future"")
- Vision Pro camera/recording quality: Negative (isn’t great; won’t record with headset)
- Spatial video playback on Vision Pro: Positive (glad they can be viewed)
- Compatibility with iPhone spatial videos: Positive (can view iPhone 15 Pro videos)"
55,"The hand and eye tracking is 99% perfect. But that 1% of the time it misses your glance or pinch, it can be really frustrating.",,,"- Hand and eye tracking accuracy: Positive (works ~99% of the time)
- Gesture recognition reliability: Negative (misses glance/pinch about 1% of the time, causing frustration)"
56,"I returned it after 10 days. The weight is unbearable. I had a constant headache and neck pain. The M2's Solo Knit band was a terrible design. It's a $3,500 paperweight.",,,"- Weight: Negative (unbearably heavy)
- Comfort: Negative (caused constant headache and neck pain)
- Headband (Solo Knit band): Negative (terrible design/support)
- Value/Price: Negative ($3,500 felt like a useless paperweight)"
57,"I bought the M5, hoping it would fix the M2's flaws. It's faster, and the strap is better. But it's still too heavy, too expensive, and has no apps. It's a marginal improvement on a flawed concept.",,,"- Performance: Positive (faster)
- Strap/Comfort: Positive (strap is better)
- Weight: Negative (too heavy)
- Price: Negative (too expensive)
- App ecosystem: Negative (no apps)
- Overall concept/value: Negative (marginal improvement on a flawed concept)"
58,This is the most isolating piece of tech I've ever used. I felt completely cut off from the world and my family. The EyeSight feature is creepy and doesn't help at all. I hated the feeling.,,,"- Social presence/awareness: Negative (felt cut off from the world and family)
- EyeSight: Negative (creepy and not helpful)
- Overall experience: Negative (hated the feeling)"
59,"Zero 'killer apps' a year and a half after launch. All the hype, all that money, for what? To watch 'Avatar' in 3D? I can do that at the theater. I sold my M2 and didn't look back.",,,"- App ecosystem: Negative (no killer apps even after 18 months)
- Value/Price: Negative (all that money doesn’t feel justified)
- Use cases: Negative (feels limited to watching 3D movies)
- Post-launch progress: Negative (little meaningful improvement since launch)
- Overall satisfaction: Negative (sold it and didn’t miss it)"
60,"visionOS is a marvel of engineering. Moving windows around in 3D space, pinning them to my wall... it just works, flawlessly. The 'wow' factor hasn't worn off.",,,"- visionOS/software: Positive (marvel of engineering)
- Spatial window management: Positive (moving/pinning windows in 3D works flawlessly)
- Reliability/Stability: Positive (it just works, flawlessly)
- Overall experience/wow factor: Positive (wow factor hasn’t worn off)"
61,"I'm an amazing 4K TV you wear on your face. But it's also uncomfortable, lonely, and has no apps. I'm waiting for Gen 3.",,,"- Display quality: Positive (like an amazing 4K TV)
- Media consumption: Positive (great big-screen viewing)
- Comfort/Ergonomics: Negative (uncomfortable)
- Social experience: Negative (lonely)
- App ecosystem: Negative (no apps)
- Overall maturity/readiness: Negative (waiting for Gen 3)"
62,"It's a $3,500 toy for watching movies. A very, *very* good toy, but a toy nonetheless. The 'Pro' name feels unearned. I'm just not getting any real work done in this.",,,"- Price: Negative (costs $3,500)
- Entertainment/movies: Positive (very good for watching movies)
- Productivity/work: Negative (not getting real work done)
- Branding (""Pro"" name): Negative (feels unearned)
- Overall utility: Negative (more a toy than a tool)"
63,"I can't believe how bad the typing is. The 'look and pinch' keyboard is a gimmick that's painfully slow. You are 100% required to buy a separate keyboard, which is ridiculous.",,,"- Typing experience: Negative (bad and slow)
- Look-and-pinch virtual keyboard: Negative (gimmicky and painfully slow)
- Need for separate keyboard: Negative (required extra purchase)"
64,"The 'Persona' is pure nightmare fuel. I tried a FaceTime call, and my wife told me to take it off immediately. She said I looked like a reanimated corpse. So much for 'connecting' people.",,,"- Persona (digital avatar): Negative (creepy/uncanny)
- FaceTime calls: Negative (spouse immediately asked to stop)
- Avatar realism/appearance: Negative (looks like a “reanimated corpse”)
- Social/connection value: Negative (fails to “connect” people)"
65,"The passthrough is the best I've seen, but it still struggles in low light. It gets grainy, and there's some motion blur. It's not 1:1 with human vision, but it's close.",,,"- Passthrough quality: Positive (best I've seen)
- Low-light performance: Negative (struggles in dim scenes)
- Image noise/grain: Negative (gets grainy)
- Motion blur: Negative (some blur)
- Human-vision fidelity: Neutral (close but not 1:1)"
66,"I got the M2 version. It's incredible, but it definitely gets warm after about an hour of use. Not uncomfortably hot, but you notice it.",,,"- Overall performance/experience: Positive (described as incredible)
- Thermals/heat: Negative (gets noticeably warm after about an hour)
- Comfort: Neutral (not uncomfortably hot)"
67,"The new Dual Knit Band on the M5 is a huge improvement, but why isn't it standard? And $99 for it? Come on, Apple. The comfort should be perfect out of the box at this price.",,,"- Dual Knit Band quality: Positive (huge improvement)
- Dual Knit Band inclusion: Negative (not standard)
- Dual Knit Band price: Negative ($99 extra)
- Comfort: Negative (should be perfect out of the box)
- Value for price: Negative (expectations not met at this price)"
68,"The battery pack is such a clumsy solution. The cable is always in the way, and I'm always worried I'll snag it. Why isn't the battery in the headset? (Oh, right, the weight...)",,,"- Battery pack: Negative (clumsy external solution)
- Cable: Negative (in the way; risk of snagging)
- Weight: Negative (battery inside would make headset too heavy)"
69,"It's cool. But is it $3,500 cool? No. I use it maybe once a week to watch a movie. My Quest 3 is more fun for games and a fraction of the price.",,,"- Overall appeal: Positive (described as “cool”)
- Price/Value: Negative ($3,500 not worth it; cheaper alternatives exist)
- Usage frequency: Negative (used only about once a week)
- Media watching (movies): Neutral (used for movies but not praised)
- Gaming: Negative (less fun than Quest 3)"
70,"The display is amazing, but the field of view is like looking through binoculars. It's not 'immersive' when you can see the black borders all the time.",,,"- Display: Positive (amazing)
- Field of view: Negative (like looking through binoculars)
- Immersion: Negative (black borders ruin immersion)
- Edge/border visibility: Negative (black borders visible all the time)"
71,"There is nothing—NOTHING—to do on this thing. I watched the two immersive videos, browsed Safari on a big screen, and then... that's it. The app store is a barren wasteland. What a waste of money.",,,"- App store: Negative (barren wasteland)
- Content library: Negative (only two immersive videos; nothing to do)
- Web browsing (Safari on big screen): Neutral (works, but unremarkable)
- Price/Value: Negative (waste of money)"
72,"The motion blur on the passthrough is nauseating. I tried walking around, and the world warped and smeared. It made me feel sick.",,,"- Passthrough: Negative (heavy motion blur)
- Motion handling while moving: Negative (world warps and smears when walking)
- Comfort/health: Negative (nauseating; made the user feel sick)"
73,"I really enjoy using it, but it feels isolating. My family says it's weird to talk to me when I'm wearing it. The EyeSight display doesn't really help.",,,"- Overall experience: Positive (enjoyable to use)
- Social isolation: Negative (feels isolating)
- Communication with others: Negative (people find it weird to talk to the wearer)
- EyeSight display: Negative (doesn’t help alleviate the social disconnect)"
74,"Everything is an expensive add-on. The prescription lenses were $150. The travel case is $200. The M5's new band is $99. The product is $3,500. This is absurd.",,,"- Overall pricing/value: Negative (absurdly expensive)
- Base product price: Negative ($3,500)
- Prescription lenses: Negative ($150 add-on)
- Travel case: Negative ($200 add-on)
- Band/headband: Negative ($99 add-on)
- Accessories/add-ons: Negative (everything costs extra)"
75,"I held off until the M5 version, and I'm so glad I did. The comfort is there, the power is there. This is the first-gen product that truly feels 'finished.'",,,"- Comfort: Positive (comfort is there)
- Performance/Power: Positive (power is there)
- Maturity/Polish: Positive (feels finished for a first-gen)
- M5 version: Positive (glad they waited for this version)"
76,"The Personas are getting so much better. My family said my spatial Persona on FaceTime felt natural and present. It's not perfect, but it's a huge step up.",,,"- Personas: Positive (getting much better; huge step up)
- FaceTime with Spatial Persona: Positive (felt natural and present to family)
- Polish/Accuracy: Negative (still not perfect)"
77,"This is the best portable display for my MacBook, period. The M5 version's virtual display is even sharper and smoother. I've sold my external monitor.",,,"- Overall experience: Positive (best portable display for my MacBook)
- Virtual display quality: Positive (even sharper)
- Smoothness/latency: Positive (smoother)
- MacBook integration: Positive (works great as a MacBook display)
- Monitor replacement capability: Positive (sold external monitor)
- M5 version improvements: Positive (noticeable upgrade in sharpness and smoothness)"
78,"I love the glare. If you're watching a dark movie with bright text, the lens flare is very noticeable. It's the only mark on an otherwise perfect display.",,,"- Display: Positive (described as “otherwise perfect”)
- Glare/Lens flare: Negative (very noticeable in dark scenes with bright text)"
79,"The fit is so finicky. If you don't have it *just right*, it's uncomfortable. I spent the first week just trying to get the Light Seal to feel right. It's a hassle.",,,"- Fit: Negative (finicky to get right)
- Comfort: Negative (uncomfortable unless perfectly adjusted)
- Light Seal: Negative (took a week to feel right)
- Setup/Adjustment: Negative (hassle to dial in)"
